"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-06","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1475.7","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1549.7","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1532.6","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1340.9","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1373.3","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","9475.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","9450.2","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","9469.0","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","9535.5","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","9527.2","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4959.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4988.4","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","5015.8","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","5045.2","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","5032.4","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3843.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3814.1","","","","1"
